amfi_code,alpha,beta
100016,0.03747580763443281,-0.05826843143880891
100025,0.042817920315060876,0.0011582183155281443
100033,0.2719535450128533,0.005103525830528309
101206,0.21399784776051212,0.021086316250128034
101207,0.10897091901704538,-0.06528924788351524
101208,0.060861457957871144,0.0002667096833823828
102885,0.17048756803412696,-0.019486785689474533
102886,0.028969397866379445,-0.042125029021894314
102887,0.16211256794033255,0.016682689437770796
118632,0.21829397904608644,-0.00835383212696202
118633,0.15643835948169668,-0.03663900671860935
118634,0.1750072167561127,0.10349663691337592
118635,0.1513635464823924,-0.0014335213897801223
118636,0.05074772999976104,0.001256674273155852
119092,0.0689952982167755,0.009730745001153628
119093,0.08232801295222093,0.02588321244009315
119094,0.2607666908004223,-0.06626542862803757
119095,0.048015953637759554,-0.066951174639292
119120,0.05620895216638369,-0.006413850728276472
119551,0.23201007160635082,-0.03175144113890974
119552,0.1986859936686296,-0.026159307513513405
119598,0.3033696538698332,-0.023196062044059718
119599,0.048824215945539845,0.06200180438267165
120503,0.17703302365844073,-0.0402689523698206
120504,0.2119482701352573,0.01623216976141702
120505,0.2926358334175106,0.0005490042506317163
120506,0.1625385327998104,0.041896462728119754
120507,0.06746210411099539,-0.0004440926329707228
120841,0.13042924450705445,0.03635639902219981
120842,0.0780443887615508,0.018056874208118162
120843,0.27330465038306057,-0.022829569792426528
120844,0.06455677495375998,-0.0004007442394784004
125497,0.17729754927531766,0.048820404259577385
125498,0.11989100971217971,0.009054412621739158
148567,0.2698375144191807,0.02368355807584861
148568,0.20873010086942337,-0.02638771994384303
148569,0.2827036785246582,0.018133884083859228
149322,0.13173190226099432,-0.004050271130006508
149323,0.26598577542043045,-0.002523004664699231
149324,0.3005787817097677,0.011455159960520685
